DISCOVERER_EUL,DISCOVERER_OWNER,DISCOVERER_WORKBOOK,DISCOVERER_WORKSHEET,ARGOS_PATH,ARGOS_DATABLOCK,ARGOS_REPORT_TYPE,ARGOS_REPORT_NAME,VETTED_IND,ARGOS_REPORT_DESCRIPTION,INPROG_IND
"ADMISSIONS","GLASSA","MBAinformation","Deans' New Student Report","Admissions","Admitted Student Analysis","CSV Report","Dean's New Student Report","N","Returns all admitted students with a level code of 'G' that are in the 'MBA' program, based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Admitted Student Paid Deposits (Online or Check)","Analyze Admission Deposits","Admissions","Admitted Student Analysis","CSV Report","Admission Deposits Report","N","Returns all admitted or confirmed students ('CC', 'AG', 'IE', 'PG', 'WA', 'WP') and their deposit information, based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Admitted Student Paid Deposits (Online or Check)","Basic Admitted Students Information","Admissions","Admitted Student Analysis","CSV Report","Basic Admitted Grad Students Report","N","Returns all admitted students with a level code of 'G', and are admitted or confirmed ('CC', 'AG', 'IE', 'PG', 'WA', 'WP'), based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Admitted Student Paid Deposits (Online or Check)","Online Paid Deposits. Change Status Now...","Admissions","Admitted Student Analysis","CSV Report","Acceptance Deposits Report","N","Returns all admitted, matriculated students with an application decision code of 'CC' or 'AG', and a deposit amount that is greater than 0, based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Reporting","FIXME - Application Learner Record Report","Admissions","Admitted Student Analysis","CSV Report","Broken Learner Records Report","N","Returns all students with an incorrect learner record, based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Reporting","HPRO2 Report","Admissions","Admitted Student Analysis","CSV Report","HPRO2 Report","N","Returns all admitted students in the 'BIOL-BS' program with a concentration of 'HPRP' or no concentration, based on the selected parameters.","N"
"SATURN","COMP","Athletics Compliance Reports","Athlete Withdraw Status","Athletics","Athletics Compliance Analysis","CSV Report","Athlete Withdraw Status Report","N",,"N"
"COMP","COMP","Attrition 200780","Basic Student and Admission Data","Student.Attendance","Attrition Analysis","CSV Report","Admission Data Report","N",,"N"
"SATURN","COMP","applied to graduate in housing","By Student","Student.Housing","Banner Booking Analysis","CSV Report","Applied for Graduation in Housing Report","N",,"N"
"SATURN","COMP","Housing Numbers Report","By Class, By Term","Student.Housing","Banner Booking Analysis","Crosstab","Counts by Class and Building","N",,"N"
"SATURN","COMP","Housing Numbers Report","By Class, By Term, By Building","Student.Housing","Banner Booking Analysis","Crosstab","Counts by Class and Building","N",,"N"
"SATURN","COMP","Housing Numbers Report","By Term, Individual Residents","Student.Housing","Banner Booking Analysis","CSV Report","Individual Residents Report","N",,"N"
"SATURN","COMP","Housing Reports","Addresses ","Student.Housing","Banner Booking Analysis","CSV Report","Addresses Report","N",,"N"
"SATURN","COMP","Housing Reports","RA Housing Benefits","Student.Housing","Banner Booking Analysis","CSV Report","RA Housing Benefits Report","N",,"N"
"SATURN","COMP","Housing Reports","Residential Assistant Meal Plans","Student.Housing","Banner Booking Analysis","CSV Report","RA Meal Plan Benefits Report","N",,"N"
"SATURN","COMP","Housing Reports","Room Detail","Student.Housing","Banner Booking Analysis","CSV Report","Room Detail Report","N",,"N"
"SATURN","COMP","Housing Reports","Room Detail as of Date","Student.Housing","Banner Booking Analysis","CSV Report","Room Detail Report - by Date","N",,"N"
"SATURN","COMP","Housing Reports","Room Detail by Date","Student.Housing","Banner Booking Analysis","CSV Report","Room Detail Report - by Date","N",,"N"
"SATURN","COMP","Housing Reports","Room Detail -not compliant","Student.Housing","Banner Booking Analysis","CSV Report","Room Detail Report - Not Compliant","N",,"N"
"SATURN","COMP","Housing Reports","Student GPA by Major and Housing Information","Student.Housing","Banner Booking Analysis","CSV Report","Student GPA Report - by Major with Housing Info","N",,"N"
"SATURN","COMP","Housing Room Information","Housing Room Report","Student.Housing","Banner Booking Analysis","CSV Report","Banner Booking Report","N",,"N"
"SATURN","COMP","Housing Room Information","Housing Meal Report","Student.Housing","Banner Booking Analysis","CSV Report","Banner Meal Report","N",,"N"
"SATURN","COMP","Housing Room Information","Housing Days Over Limit","Student.Housing","Banner Booking Analysis","CSV Report","Over Booking Limit Report","N",,"N"
"COMP","COMP","Banner Security","Multiple worksheets...","Information Technology Services","Banner Security Reports",,,"N",,"N"
"COMP","COMP","Banner Security - Finance","Multiple worksheets...","Information Technology Services","Banner Security Reports",,,"N",,"N"
"COMP","COMP","Banner Security - HR","Multiple worksheets...","Information Technology Services","Banner Security Reports",,,"N",,"N"
"COMP","COMP","Banner Security - ITS","Multiple worksheets...","Information Technology Services","Banner Security Reports",,,"N",,"N"
,,,,"Human Resources.HR Administrative Reports","Bargaining Unit Information","CSV Report","Bargaining Unit Information","N",,"N"
"PAYROLL","COMP","BB108 Salary Projection Report","BB108 Report","Budget.HR Budget Reports.HR Budget Administrative Reports","BB108 Report","CSV Report","BB108 Report","N","All positions","N"
"FIMSMGR","COMP","BDMS Access Reports","B-F-ID Access By Data Element","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","BDMS Access Reports","B-F-ID Access By Group","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","BDMS Access Reports","B-F-ID Access By User","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","BDMS Access Reports","B-F-ID Access Complete","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","BDMS Access Reports","Groups to Users","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","BDMS Access Reports","Users to Groups","Information Technology Services","Banner Security Reports","Dashboard",,"N","BDMS/Xtender Security Reports","N"
"FIMSMGR","COMP","NSF by Fund, Org, Prog","Sheet 1","Finance.Budget Reports","Budget Analysis","CSV Report","Non-Salary Pool Report","N","Returns calculated budget information for the non salary pool account with a chart of account code of 1.","N"
"COMP","COMP","Back To Back Conflicts","Conflicts","Information Technology Services","Class Conflict Email Burst",,,"N",,"N"
"ADMISSIONS","COMP","Common App","CAO Errs All by Date","Admissions.Data Cleaning","Common App Error Analysis","CSV Report","By Date Report","N","Returns all students with Common App Errors, sorted by most recent date first.","N"
"ADMISSIONS","COMP","Common App","CAO Errs All by Last Name","Admissions.Data Cleaning","Common App Error Analysis","CSV Report","By Last Name Report","N","Returns all students with Common App Errors, sorted by last name.","N"
"ADMISSIONS","COMP","Common App","CAO Errs for a Date","Admissions.Data Cleaning","Common App Error Analysis","CSV Report","By Date Report","N","Returns all students with Common App Errors, sorted by most recent date first.","N"
"ADMISSIONS","COMP","Common App","CAO Errs for a Name","Admissions.Data Cleaning","Common App Error Analysis","CSV Report","By Last Name Report","N","Returns all students with Common App Errors, sorted by last name.","N"
"FAISMGR","FREEMAND","Common Data Set data","PLUS loans","Financial Aid","Common Data Set Analysis","Crosstab","Accepted Amounts Summary - by Aid Year","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","Institutional Scholarship-Grants","Financial Aid","Common Data Set Analysis","Crosstab","Accepted Amounts Summary - by Aid Year","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","FWS","Financial Aid","Common Data Set Analysis","Crosstab","Accepted Amounts Summary - by Aid Year","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","Federal Scholarship-Grants","Financial Aid","Common Data Set Analysis","Crosstab","Accepted Amounts Summary - by Aid Year","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","Non need Tuition Waivers","Financial Aid","Common Data Set Analysis","Crosstab","Accepted Amounts Summary - by Aid Year","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","ACT survey-rec'd merit aid","Financial Aid","Common Data Set Analysis","CSV Report","ACT Survey Report - Freshmen - Merit Based Aid","N",,"N"
"FAISMGR","FREEMAND","Common Data Set data","ACT survey-rec'd need aid","Financial Aid","Common Data Set Analysis","CSV Report","ACT Survey Report - Freshmen - Need Based Aid","N",,"N"
"ADMISSIONS","PATELS2","Report for Reporting","Making Random Reports","Admissions","Admitted Student Analysis","CSV Report","MSCD Program Report","N","Returns all admitted students with a level code of 'G' and a program code of 'MSCD', based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Reporting","Report .2015","Admissions","Admitted Student Analysis","CSV Report","Graduate Student (No NMAT Applications) Report","N","Returns all admitted students with a level code of 'G' that do not have an admit type of 'QA', based on the selected parameters.","N"
"ADMISSIONS","PATELS2","Report for Reporting","Report 2017 .2017","Admissions","Admitted Student Analysis","CSV Report","Graduate Student Report","N","Returns all admitted students with a level code of 'G', based on the selected parameters.","N"
"ADMISSIONS","COMP","SAT Rank Report Minimum Data ","All Admitted","Admissions","Admitted Student Analysis","CSV Report","Freshmen SAT Rank Report - Minimum Data","N","Returns all admitted students with a student type of 'F', based on the selected parameters.","N"
"ADMISSIONS","COMP","SAT-Rank Report1","Sheet 1","Admissions","Admitted Student Analysis","CSV Report","Freshman SAT Rank Report - Email","N","Returns all admitted students with a student type of 'F', with email addresses, based on the selected parameters.","N"
"ADMISSIONS","COMP","SAT-Rank Report1","Sheet 2","Admissions","Admitted Student Analysis","CSV Report","Freshman SAT Rank Report - SSN and Concentration","N","Returns all admitted students with a student type of 'F', with SSN and concentration information, based on the selected parameters.","N"
"ADMISSIONS","COMP","WP Enrolled","Sheer 1","Admissions","Admitted Student Analysis","CSV Report","WP Enrolled Report","N","Returns all admitted students with a decision code of 'WP', with more than 0 credit hours for the same term.","N"
"COMP","COMP","NEW ADMIT REPORTS","Dual Credit HS","Admissions","Admitted Student Analysis","CSV Report","Dual Credit HS Admits Report","N",,"N"
"COMP","COMP","NEW ADMIT REPORTS","New UGRAD Admits no Registration","Admissions","Admitted Student Analysis","CSV Report","New Undergraduate Admits - No Registration Report","N",,"N"
"COMP","COMP","NEW ADMIT REPORTS","New UGRAD Admits with Previous Registration","Admissions","Admitted Student Analysis","CSV Report","New Undergraduate Admits - Previous Registration Report","N",,"N"
"COMP","COMP","NEW ADMIT REPORTS","Sheet 7","Admissions","Admitted Student Analysis","CSV Report","Undergrad Admissions Letter Generation Report","N",,"N"
"COMP","COMP","NEW ADMIT REPORTS","Undergrad Admissions Letter Generation","Admissions","Admitted Student Analysis","CSV Report","Undergrad Admissions Letter Generation Report","N",,"N"
"SATURN","LOSASSOJ","New Admits For a Specific Term","Sheet 1","Admissions","Admitted Student Analysis","CSV Report","New Admit Students Report","N",,"N"
"ADMISSIONS","COMP","FRST","Basic Admitted Student Info - APAL","Admissions.FRST Program","FRST Admits Analysis","CSV Report","Student Test Scores Report - APAL","N",,"N"
"SATURN","COMP","Advisees by Division, Program, Faculty & Year with Address Information - Jess","Advisor List Lookup","Student.Advising","Advisee Analysis","CSV Report","Advisee List Report","N","Returns student information by advisor and major, with student counts for each advisor, and the option to choose between advisors listed as primary, or all advisors/advisees.","N"
"SATURN","COMP","Advisees by Division, Program, Faculty & Year with Address Information - Jess","Advisees by Major","Student.Advising","Advisee Analysis","CSV Report","Advisees by Major","N","Returns advisor/advisee information sorted by advisee major.","N"
"SATURN","COMP","Advisees by Division, Program, Faculty & Year with Address Information - Jess","Advisee count by Advisor","Student.Advising","Advisee Analysis","MultiColumn ListBox","Advisors","N","Advisor counts are in the Advisor sort box.","N"
"INSTR","COMP","Advising","New Admit Registration  for Date Range","Student.Advising","Advisee Analysis","CSV Report","New Admits Report","N",,"N"
"INSTR","COMP","Advising","New Admit Registration by Day","Student.Advising","Advisee Analysis","CSV Report","New Admits Report","N",,"N"
"SATURN","COMP","Missing Majors and Tracks","Missing Track Info by Major and Advisor","Student.Advising","Advisee Analysis","CSV Report","Missing Track Info by Advisor Report","N",,"N"
"SATURN","COMP","Missing Majors and Tracks","Undecided Majors by Advisor","Student.Advising","Advisee Analysis","CSV Report","Undecided Majors by Advisor Report","N",,"N"
,,,,"Student.Advising","Advisee Analysis","CSV Report","Preceptee Report - by Advisor","N","For a SEMP Retention effort, a list of advisees by advisor that gets emailed to the advisors on a manual basis only.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Academic Program Audit Report","Alumni.Audit Reports","Alumni Academic Audit","Form","Academic Information","N","Returns academic program information, major/minor/concentration information, and the activity date for each program.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Major, Minor ,Concentration Audit Report","Alumni.Audit Reports","Alumni Academic Audit","Form","Academic Information","N","Returns academic program information, major/minor/concentration information, and the activity date for each program.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni Address Audit","Alumni.Audit Reports","Alumni Address Audit","Form","By Activity Date","N","Returns information from SPRADDR based on the SPRADDR_ACTIVITY_DATE and the SPRADDR_USER.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","General Address Audit","Alumni.Audit Reports","Alumni Address Audit","Form","By Activity Date","N","Returns information from SPRADDR based on the SPRADDR_ACTIVITY_DATE and the SPRADDR_USER.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Married Couple Address Report","Alumni.Audit Reports","Alumni Address Audit","CSV Report","Married Couples Report","N","Returns all individuals with a marital code of M, and their and their spouse's address information.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Most Current Address for PR","Alumni.Audit Reports","Alumni Address Audit","CSV Report","Most Current PR Address Report","N","Returns all individuals with their most recent PR type address.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni AMAINFO Audit","Alumni.Audit Reports","Alumni AMAINFO Audit","Form","AMRSTAF Audit","N","Returns all individuals that have more than one AMRSTAF record for their specific STFT code.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","BU Organization Address Audit","Alumni.Audit Reports","Business Address Audit","Form","Business Information","N","Returns information from AOBORGN for business entities.","N"
"ALUMNI","JOHNS193","Designation-List","Sheet 1","Alumni","Designation Analysis","Crosstab","Designation Summary","N",,"N"
"ALUMNI","JOHNS193","Designation-List","Sheet 2","Alumni","Designation Analysis","Form","""Designations:"" ListBox","N",,"N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni Email Audit","Alumni.Audit Reports","Alumni Email Audit","Form","By Activity Date","N","Returns information from GOREMAL based on the GOREMAL_ACTIVITY_DATE and GOREMAL_USER_ID.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni Email Person (Active with no Pref Indicator)","Alumni.Audit Reports","Email Audit","Form","By Activity Date","N","Returns information from GOREMAL based on the GOREMAL_ACTIVITY_DATE and GOREMAL_USER_ID.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Employment Audit By Status","Alumni.Audit Reports","Alumni Employment Audit","Form","By Activity Date","N","Returns employment history for individuals, based on a date range, the user that entered changes, and employment type.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Employment Audit Report (Primary Position)","Alumni.Audit Reports","Alumni Employment Audit","Form","By Activity Date","N","Returns employment history for individuals, based on a date range, the user that entered changes, and employment type.","N"
"ALUMNI","JOHNS193","Event-Reports","All Alumni Event ID's and Descriptions","Alumni","Event Analysis","MultiColumn ListBox","Sort by Events","N",,"N"
"ALUMNI","JOHNS193","Event-Reports","Event Attendance","Alumni","Event Analysis","CSV Report","Event Attendance Report - with Address, Staff, Rating, and Exclusion Info","N",,"N"
"ALUMNI","JOHNS193","Event-Reports","Event Gift Receipts","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Receipts Report","N",,"N"
"ALUMNI","JOHNS193","Event-Reports","Event Participation","Alumni","Event Analysis","CSV Report","Event Attendance Report - with Address and Exclusion Info","N",,"N"
"ALUMNI","JOHNS193","Weekly-Transactions","Gift Donor Detail no Address","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Receipts Report - with Prospect Info","N",,"N"
"ALUMNI","JOHNS193","Weekly-Transactions","Gift Donor Detail no Address No ""ND"" Filter","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Receipts Report - All Non-Donation Gifts - with Prospect Info","N",,"N"
"ALUMNI","JOHNS193","Weekly-Transactions","Gift Donor Detail no Address with pledge info","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Receipts Report - with Pledge Info","N",,"N"
"ALUMNI","JOHNS193","Weekly-Transactions","Presidents Weekly Report","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Presidents Weekly Report","N",,"N"
"ALUMNI","JOHNS193","Pledge-Reports-RJ","Gift info detail by FY, Gift Type and Campaign","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Receipts Report","N","Returns gift information for individuals, sortable by fiscal year, campaign code, and gift type. Includes address information and preferred email.","N"
"ALUMNI","JOHNS193","3_Year_Comparison-RJ","3 Year Comparison","Alumni.Gifts & Pledges","GIft Analysis","CSV Report","Gift Receipts Report","N","Returns gift information for individuals, sortable by fiscal year, campaign code, and gift type. Includes address information and preferred email.","N"
"ALUMNI","JOHNS193","Athletics-Gift-Report","Athletics Gift Donor Detail w Addr","Alumni","Gift Analysis","CSV Report","Athletics Gift Report","N",,"N"
"ALUMNI","JOHNS193","Adjustment_and_Voided_Gift_Report","Gift Adjustments","Alumni.Gifts & Pledges","Gift Analysis","CSV Report","Gift Adjustments Report","N","Returns gift information for individuals, sortable by fiscal year, campaign code, and gift type. Includes address information and preferred email.","N"
"ALUMNI","JOHNS193","Adjustment_and_Voided_Gift_Report","Voided Gifts","Alumni.Gifts & Pledges","Voided Gift Analysis","CSV Report","Voided Gifts Report","N","Returns gift information for individuals, sortable by fiscal year, campaign code, and gift type. Includes address information and preferred email.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Name Audit Report","Alumni.Audit Reports","Alumni Name Audit","Form","By Activity Date","N","Returns information from SPBPERS and APBCONS based on APBCONS_ACTIVITY_DATE and APRSALU_ACT_DATE.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Deceased Constituents Report","Alumni.Audit Reports","Constituent Analysis","CSV Report","Deceased Constituents Report","N","Returns all deceased individuals that have a non-null donor code, with optional date range sort.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Obituary Report","Alumni.Audit Reports","Alumni Obituary Analysis","Form","Obituary Report","N","Returns obituary information based on a given start date, sortable by deceased date or obituary entry date on APRCONF. A scheduled run of this report will return all records with a deceased date within the past 30 days of the SYSDATE.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni Person Change Report","Alumni.Audit Reports","Alumni Person Audit","Form","By Activity Date","N","Returns information from SPRIDEN based on SPRIDEN_ACTIVITY_DATE and SPRIDEN_CREATE_USER or SPRIDEN_USER.","N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","General Person Change Report","Alumni.Audit Reports","Alumni Person Audit","Form","By Activity Date","N","Returns information from SPRIDEN based on SPRIDEN_ACTIVITY_DATE and SPRIDEN_CREATE_USER or SPRIDEN_USER.","N"
"ALUMNI","JOHNS193","Pledge-Reports-RJ","Pledge Codes","Alumni.Gifts & Pledges","Pledge Analysis","MultiColumn ListBox","Sort by Pledge Type","N","Returns pledge information for individuals, sortable by fiscal year, campaign code, pledge type, and pledge status. Includes address information and preferred email.","N"
"ALUMNI","JOHNS193","Pledge-Reports-RJ","Pledge info Summary by FY, Pledge Type and Campaign","Alumni.Gifts & Pledges","Pledge Analysis","CSV Report","Pledge Detail Report - with Address Info","N","Returns pledge information for individuals, sortable by fiscal year, campaign code, pledge type, and pledge status. Includes address information and preferred email.","N"
"FIMSMGR","COMP","Approvals","By Activity Date","Finance","Approvals Analysis","CSV Report","Approval Detail Report","N",,"N"
"ALUMNI","JOHNS193","Audit-Reports-RJ","Alumni Spbpers Audit","Alumni.Audit Reports","Alumni SPBPERS Audit","Form","By Activity Date","N","Returns information from SPBPERS based on SPBPERS_ACTIVITY_DATE and SPBPERS_USER_ID.","N"
"ADMISSIONS","COMP","admissions crosstabs - NEW","Ap Stat with Ethnicity","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","admissions crosstabs - NEW","Applicant Status","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","admissions crosstabs - NEW","Grad Appl Status by Program","Admissions","Applicant Status Crosstab","OLAP Cube","""Summary"" Crosstab","N",,"N"
"ADMISSIONS","COMP","admissions crosstabs - NEW","Grad Applicant Status Summary","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","admissions crosstabs - NEW","Minority Ap Stat","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Admissions Freshmen Decision Lists","Freshmen Applicants - Summarized by APDC and Enrolled","Admissions","Applicant Status Crosstab","OLAP Cube","""Admit Summary"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Admissions Freshmen Decision Lists","Freshmen Applicants by APDC Groups ","Admissions","Applicant Status Crosstab","OLAP Cube","""Admit Summary"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Admissions Freshmen Decision Lists","Freshmen Applicants Enrolled","Admissions","Applicant Status Crosstab","OLAP Cube","""Enrollment Summary"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Applicants by Major, Decision Status, by Term","All","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Applicants by Major, Decision Status, by Term","First Time Freshman","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"ADMISSIONS","COMP","Applicants by Major, Decision Status, by Term","Transfers","Admissions","Applicant Status Crosstab","OLAP Cube","""Detail"" Crosstab","N",,"N"
"SATURN","COMP","Athletics Compliance Reports","Overall Athlete Compliance","Athletics","Athletics Compliance Analysis","CSV Report","Athlete Compliance Report","N",,"N"
"PAYROLL","COMP","AAF Employee Org Report","AAF Employee Info","Human Resources.Departmental HR Reports","Employee Job Report by Div and Dept","CSV Report","Employee Job Report by Div and Dept CSV File","N","Employee Information by Department","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Applicant Decision Code History","Admissions","Admitted Student Analysis","CSV Report","Decision Progression Report","N","Returns decision code progression for all admitted students, based on the selected parameters.","N"
"PAYROLL","COMP","AAF Employee Org Report - ARHU","ARHU by E-Class","Human Resources.Departmental HR Reports","Employee Job Report by Div and Dept","CSV Report","Employee Job Report by Div and Dept CSV File","N","Employee Information by Department","N"
"PAYROLL","COMP","AAF Employee Org Report - ARHU","ARHU Employee Info","Human Resources.Departmental HR Reports","Employee Job Report by Div and Dept","CSV Report","Employee Job Report by Div and Dept CSV File","N","Employee Information by Department","N"
"PAYROLL","COMP","AAF Employee Org Report - BUSN","BUSN by E-Class","Human Resources.Departmental HR Reports","Employee Job Report by Div and Dept","CSV Report","Employee Job Report by Div and Dept CSV File","N","Employee Information by Department","N"
